Ticker,Short Name,Market Cap,Rank(Current Market Cap),Market Cap,Price:D-1,P/E,Total Return YTD,Industry Sector,Industry Group,INDUSTRY_SUBGROUP,cap,shares
AAPL US Equity,APPLE INC,1.88T,1,1.88T,440.25,34.56,50.68,Technology,Computers,Computers,1.95E+12,4275634000
MSFT US Equity,MICROSOFT CORP,1.61T,2,1.61T,212.94,37.12,35.77,Technology,Software,Applications Software,1.64E+12,7567652935
AMZN US Equity,AMAZON.COM INC,1.61T,3,1.61T,3205.03,124.09,73.45,Communications,Internet,E-Commerce/Products,1.62E+12,500889651
GOOGL US Equity,ALPHABET INC-A,1.00T,4,1.00T,1479.09,34.46,10.43,Communications,Internet,Web Portals/ISP,1.02E+12,300471156
FB US Equity,FACEBOOK INC-A,709.70B,6,709.70B,249.12,32.37,21.37,Communications,Internet,Internet Content-Entmnt,7.56E+11,2404282110
BABA US Equity,ALIBABA GRP-ADR,710.68B,5,710.68B,264.91,44.84,24.9,Communications,Internet,E-Commerce/Products,7.13E+11,2682723033
BRK/A US Equity,BERKSHIRE HATH-A,494.64B,7,494.64B,305200,20.64,-10.13,Financial,Insurance,Property/Casualty Ins,4.98E+11,692885
JNJ US Equity,JOHNSON&JOHNSON,390.71B,8,390.71B,148.4,26.19,3.11,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,3.88E+11,2632823475
V US Equity,VISA INC-CLASS A,380.90B,9,380.90B,196.1,37.5,4.69,Financial,Diversified Finan Serv,Finance-Credit Card,3.86E+11,1686007156
WMT US Equity,WALMART INC,367.62B,10,367.62B,129.81,26.18,10.21,"Consumer, Cyclical",Retail,Retail-Discount,3.66E+11,2831953450
MA US Equity,MASTERCARD INC-A,328.35B,12,328.35B,328,45.32,10.3,Financial,Diversified Finan Serv,Finance-Credit Card,3.30E+11,992535773
PG US Equity,PROCTER & GAMBLE,330.35B,11,330.35B,133.44,25.86,8.86,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,3.29E+11,2475642613
UNH US Equity,UNITEDHEALTH GRP,296.95B,13,296.95B,312.47,17.56,7.17,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,2.98E+11,950335762
SPY US Equity,SPDR S&P 500 ETF,295.54B,15,295.54B,332.11,--,4.28,Funds,Equity Fund,Growth&Income-Large Cap,2.97E+11,889232116
JPM US Equity,JPMORGAN CHASE,296.26B,14,296.26B,97.21,12.84,-28.37,Financial,Banks,Diversified Banking Inst,2.96E+11,3047604487
HD US Equity,HOME DEPOT INC,287.68B,16,287.68B,267.48,26.84,24.08,"Consumer, Cyclical",Retail,Retail-Building Products,2.90E+11,1075522865
NVDA US Equity,NVIDIA CORP,277.65B,17,277.65B,451.47,84.05,92.08,Technology,Semiconductors,Electronic Compo-Semicon,2.79E+11,615000000
TSLA US Equity,TESLA INC,276.75B,18,276.75B,1485.02,646.15,254.99,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,2.78E+11,186361726
PYPL US Equity,PAYPAL HOLDINGS,238.07B,20,238.07B,202.91,89.46,87.58,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,2.39E+11,1173299768
VZ US Equity,VERIZON COMMUNIC,238.10B,19,238.10B,57.54,10.8,-3.2,Communications,Telecommunications,Telephone-Integrated,2.39E+11,4138053870
DIS US Equity,WALT DISNEY CO,230.60B,21,230.60B,127.61,665.78,-11.77,Communications,Media,Multimedia,2.36E+11,1807063365
NFLX US Equity,NETFLIX INC,221.44B,22,221.44B,502.11,76.18,55.18,Communications,Internet,Internet Content-Entmnt,2.25E+11,441015443
ADBE US Equity,ADOBE INC,215.61B,24,215.61B,449.51,61.16,36.29,Technology,Software,Electronic Forms,2.23E+11,479665239
BAC US Equity,BANK OF AMERICA,219.98B,23,219.98B,25.39,12.14,-26.94,Financial,Banks,Diversified Banking Inst,2.21E+11,8664097768
T US Equity,AT&T INC,212.68B,26,212.68B,29.85,12.8,-19.86,Communications,Telecommunications,Telephone-Integrated,2.13E+11,7125000000
PFE US Equity,PFIZER INC,213.58B,25,213.58B,38.45,16.22,1.14,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,2.13E+11,5554833754
